id,treat,code_pay,role,group,hidden_number,report1,duplicate,ranking
103,FRST2,yi7ua3c22sz06m0p,P1,8475360382,10,10,2,12
104,FRST2,hj2ft2ny2sz06m0p,P1,4169922756,6,10,2,12
105,FRST2,182uyhqg2sz06m0p,P1,2517909560,10,10,2,12
106,FRST2,v1t5ymoo2sz06m0p,P1,9946421289,10,10,2,12
107,FRST2,9ax33kbh2sz06m0p,P1,1701632001,10,10,2,12
108,FRST2,e43f0f4g2sz06m0p,P1,4394721341,11,11,2,10
109,FRST2,yd38cxak2sz06m0p,P1,5237632596,11,11,2,10
110,FRST2,dhz7jurf2sz06m0p,P1,9638376791,11,11,2,10
111,FRST2,g62q76ss2sz06m0p,P1,5115209158,11,11,2,10
112,FRST2,rgk70qzd2sz06m0p,P1,6665624697,11,11,2,10
113,FRST2,ubeqgv2b2sz06m0p,P1,5877699225,11,11,2,10
114,FRST2,t39c2o8l2sz06m0p,P1,4898727764,11,11,2,10
115,FRST2,s1mhjbno2sz06m0p,P1,3284291632,11,11,2,10
116,FRST2,oj8ocrow2sz06m0p,P1,5661796817,11,11,2,10
117,FRST2,m13ivov32sz06m0p,P1,8655115442,11,11,2,10
118,FRST2,cp08s9pa2sz06m0p,P1,5637397636,12,12,2,6
119,FRST2,slmygbzk2sz06m0p,P1,9047884505,12,12,2,6
120,FRST2,h7euyiei2sz06m0p,P1,5713145960,12,12,2,6
121,FRST2,uo0fsoc92sz06m0p,P1,1791603085,8,12,2,6
122,FRST2,1wvnvwf02sz06m0p,P1,1727433673,9,12,2,6
123,FRST2,m8q7oxo82sz06m0p,P1,6204575485,9,12,2,6
124,FRST2,lepnjsjq2sz06m0p,P1,8232594617,8,8,2,6
125,FRST2,g11n4cl12sz06m0p,P1,8642248433,8,8,2,6
126,FRST2,74uopzok2sz06m0p,P1,2555370147,8,8,2,6
127,FRST2,jyhbz4db2sz06m0p,P1,8570855022,8,8,2,6
128,FRST2,71wplaq82sz06m0p,P1,1276129408,8,8,2,6
129,FRST2,yy857ygj2sz06m0p,P1,5101026047,8,8,2,6
130,FRST2,ne01l5ku2sz06m0p,P1,6082255450,7,20,2,4
131,FRST2,a328qrm32sz06m0p,P1,8060472588,14,20,2,4
132,FRST2,95gqdjeb2sz06m0p,P1,8684069711,8,20,2,4
133,FRST2,e683qz8j2sz06m0p,P1,2760111784,12,20,2,4
134,FRST2,7a4kx23d2sz06m0p,P1,3300031883,7,7,2,4
135,FRST2,3icnt5i12sz06m0p,P1,6000313433,7,7,2,4
136,FRST2,gnfvc5g82sz06m0p,P1,9082255647,7,7,2,4
137,FRST2,hk7krvlb2sz06m0p,P1,8429103641,7,7,2,4
138,FRST2,z7mmmq6t2sz06m0p,P1,8097417031,14,14,2,3
139,FRST2,fg638nga2sz06m0p,P1,2237172943,14,14,2,3
140,FRST2,jr1w3rmz2sz06m0p,P1,6607921254,14,14,2,3
141,FRST2,ylkx28ai2sz06m0p,P1,3962658755,9,9,2,3
142,FRST2,g68zg1a52sz06m0p,P1,4150554594,9,9,2,3
143,FRST2,vxuht22j2sz06m0p,P1,7554579939,9,9,2,3
144,FRST2,8ltfb5up2sz06m0p,P1,3779679112,6,6,2,3
145,FRST2,fjaucpax2sz06m0p,P1,8773089611,6,6,2,3
146,FRST2,hdtncila2sz06m0p,P1,4496534180,6,6,2,3
147,FRST2,t8j0jjod2sz06m0p,P1,3867400464,11,27,2,2
148,FRST2,wqdndueh2sz06m0p,P1,5305733093,27,27,2,2
149,FRST2,xbbcw6tg2sz06m0p,P1,6983399457,22,22,2,2
150,FRST2,uhtx8q6c2sz06m0p,P1,9508980165,22,22,2,2
151,FRST2,rc8vaigo2sz06m0p,P1,1173232146,6,18,2,2
152,FRST2,imr2uuk02sz06m0p,P1,3667731953,1,18,2,2
153,FRST2,e4feldb82sz06m0p,P1,5377894888,12,25,2,1
154,FRST2,fk5cgouk2sz06m0p,P1,1318887836,24,24,2,1
155,FRST2,9k444qvv2sz06m0p,P1,3682609859,21,21,2,1
156,FRST2,y0a3fdty2sz06m0p,P1,8086791837,7,19,2,1
157,FRST2,dgmcqi6x2sz06m0p,P1,7452601516,9,15,2,1
158,FRST2,4lheawlk2sz06m0p,P1,5743434758,13,13,2,1
