id,treat,code_pay,role,group,hidden_number,report1,duplicate,ranking
125,NO3,wssknv1if6r45zht,P1,6963467459,8,8,2,7
126,NO3,ii0birdsf6r45zht,P1,1803463296,8,8,2,7
127,NO3,7kb68lhzf6r45zht,P1,6157551924,8,8,2,7
128,NO3,a5ue1ph4f6r45zht,P1,7333659676,8,8,2,7
129,NO3,ues446aof6r45zht,P1,2719171035,8,8,2,7
130,NO3,nchjr19ef6r45zht,P1,1078251497,8,8,2,7
131,NO3,2zi36tb0f6r45zht,P1,7846763647,25,25,2,4
132,NO3,84lr1pd8f6r45zht,P1,1192682244,9,25,2,4
133,NO3,84llq0wtf6r45zht,P1,5023460939,5,25,2,4
134,NO3,sypxbu6uf6r45zht,P1,5925359151,25,25,2,4
135,NO3,uwhvqcfaf6r45zht,P1,4672965260,14,14,2,4
136,NO3,82d0zxcpf6r45zht,P1,8581150033,14,14,2,4
137,NO3,6zu669xhf6r45zht,P1,8591978710,14,14,2,4
138,NO3,xluffu17f6r45zht,P1,5307697513,7,14,2,4
139,NO3,3bi1srxuf6r45zht,P1,2649241439,6,6,2,4
140,NO3,t7p8kl72f6r45zht,P1,1678501458,6,6,2,4
141,NO3,bdhpjggif6r45zht,P1,8280702973,6,6,2,4
142,NO3,4c5rbq29f6r45zht,P1,8002447496,6,6,2,4
143,NO3,as1j6xzpf6r45zht,P1,9723877291,7,28,2,2
144,NO3,fonp0v4lf6r45zht,P1,7648292053,21,28,2,2
145,NO3,v1iw0tltf6r45zht,P1,8991207068,22,22,2,2
146,NO3,p3czubfvf6r45zht,P1,6644590601,22,22,2,2
147,NO3,xevjdur6f6r45zht,P1,7039174974,20,20,2,2
148,NO3,lugtioa1f6r45zht,P1,6476176649,8,20,2,2
149,NO3,qazudw8cf6r45zht,P1,4907012256,12,12,2,2
150,NO3,fw96be41f6r45zht,P1,1913439920,12,12,2,2
151,NO3,kao8obf4f6r45zht,P1,5464221053,7,7,2,2
152,NO3,ok5v1klsf6r45zht,P1,2021258976,7,7,2,2
153,NO3,w7r5sddlf6r45zht,P1,2591280041,26,26,2,1
154,NO3,xxpctaalf6r45zht,P1,5367672198,2,24,2,1
155,NO3,gavavbj0f6r45zht,P1,6697391444,10,19,2,1
156,NO3,riwxwdt5f6r45zht,P1,2926763865,13,13,2,1
157,NO3,f3rkpmztf6r45zht,P1,3712255408,5,5,2,1
158,NO3,n0iz16c2f6r45zht,P1,3844021493,4,4,2,1
159,NO3,dydnxwapf6r45zht,P1,4465118253,3,3,2,1
160,NO3,gmh517zsf6r45zht,P1,1054555603,1,1,2,1
